EXPERIMENT thread=1 width=512 height=512 repeat=1 hyperthread=1 size(Mib)=4.000
func,u,s,e
fast,0.000121,0.000013,0.000136,
slow_a,0.000540,0.000000,0.000543,
slow_b,0.000745,0.000000,0.000747,
slow_c,0.003549,0.000000,0.003553,
slow_d,0.007005,0.000000,0.007015,
slow_e,0.001219,0.000000,0.001221,
slow_f,0.000145,0.000000,0.000147,

