EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.124086,0.000004,0.062950,
slow_a,0.538352,0.000011,0.270319,
slow_b,4.553472,0.001998,2.311840,
slow_c,24.408940,0.000000,12.228156,
slow_d,40.111823,36.362830,38.338496,
slow_e,3.589255,0.002018,1.805890,
slow_f,0.133917,0.001183,0.090070,

