EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=1 size(Mib)=3814.697
func,u,s,e
fast,0.231098,0.000000,0.116607,
slow_a,1.042215,0.000000,0.523156,
slow_b,2.601948,0.000000,1.307118,
slow_c,6.794485,0.001978,3.412505,
slow_d,14.582312,28.650802,21.665776,
slow_e,3.017920,0.001801,1.518130,
slow_f,0.206919,0.000000,0.125614,

