EXPERIMENT thread=1 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.123319,0.000009,0.123534,
slow_a,0.535188,0.000000,0.535806,
slow_b,0.681870,0.000000,0.682751,
slow_c,3.294531,0.000000,3.297801,
slow_d,6.638470,0.000000,6.645171,
slow_e,1.995149,0.000000,2.004782,
slow_f,0.126913,0.000000,0.127100,

